mz	rtime	id_number
80.7236	239.58	F2
80.9482	137.79	F3
80.9482	157.75	F4
80.9886	296.67	F6
82.0139	279.69	F8
82.029	55.84	F9
82.0527	66.94	F12
155.0376	33.3	F17
155.0376	37.06	F18
155.0429	216.2	F20
155.0429	220.84	F21
155.0454	9.02	F23
155.0454	35.19	F24
155.0454	130.43	F26
155.0535	36.32	F28
155.0566	37.82	F34
155.0566	63.88	F35
155.0566	200.16	F36
155.0606	100.31	F37
155.0606	105.56	F38
155.0606	187.31	F40
155.0622	186.53	F41
155.0646	82.63	F42
155.0646	137.39	F43
155.0692	161.19	F46
155.0726	34.07	F49
155.0756	79.95	F50
155.0756	160.82	F51
155.0794	207.74	F53
155.0794	268.11	F54
155.0854	18.56	F55
155.0854	21.96	F56
155.0897	23.09	F61
155.091	176.52	F67
155.0917	178.43	F71
155.1264	130.81	F85
155.1378	147.87	F87
155.1378	157.75	F88
155.8692	206.25	F92
155.9646	158.91	F93
155.9646	181.54	F94
155.9745	264.25	F95
156.0072	99.56	F103
82.3309	93.95	F106
156.0373	23.09	F110
156.0404	13.63	F118
156.0423	20.07	F123
156.0423	162.31	F124
156.0478	19.32	F126
156.0478	42.42	F127
156.0508	278.93	F132
156.0524	200.93	F135
156.0539	36.69	F137
156.0539	63.88	F138
156.0539	200.93	F139
156.0567	31.04	F146
156.0567	37.06	F147
156.0598	38.2	F148
156.0598	60.81	F149
156.0643	37.82	F152
156.0643	50.86	F153
156.0684	99.93	F164
156.0723	161.93	F166
156.0736	161.56	F168
156.0736	167.54	F169
156.081	58.13	F185
156.0854	25.34	F186
156.0854	204.39	F189
156.1107	131.2	F194
156.9489	158.91	F202
156.9489	175.39	F203
156.9715	1.69	F205
156.9715	264.63	F207
156.9749	259.64	F208
156.9778	263.87	F209
156.9819	238.43	F211
156.9842	129.66	F212
156.9842	135.84	F213
157.006	203.23	F223
157.006	237.29	F224
157.006	238.81	F225
157.0261	183.13	F228
157.0394	162.31	F235
157.043	158.53	F236
157.043	250.78	F237
157.0457	162.31	F239
157.0457	176.14	F240
157.0585	99.93	F241
157.061	251.16	F246
157.061	284.31	F247
157.0652	20.81	F250
157.0652	161.19	F252
157.0722	38.2	F253
157.0722	102.91	F254
157.0722	160.82	F255
157.0722	191.62	F256
157.0722	195.9	F257
82.3459	95.06	F258
157.073	38.59	F259
157.073	190.83	F262
157.0742	217.75	F265
157.0742	221.61	F266
157.0742	228.51	F267
157.0742	271.99	F268
157.0762	104.05	F270
157.0762	144.05	F271
157.0785	161.19	F273
126.9721	12.48	F282
126.9721	42.81	F283
157.0804	202.46	F285
157.0837	156.22	F287
157.0837	185.4	F288
157.0837	291.67	F289
127.0254	166.8	F298
127.0254	278.93	F299
127.0326	179.2	F301
127.0391	43.57	F302
127.0504	153.2	F305
127.0616	9.4	F309
127.0949	23.84	F320
127.0949	99.93	F321
127.0949	192.01	F323
157.1054	23.09	F325
157.1054	196.67	F326
157.1054	258.5	F327
157.1086	258.88	F330
127.0979	94.32	F333
127.0979	254.64	F334
157.1167	18.19	F335
157.1167	102.17	F336
127.0998	268.11	F337
127.1061	268.11	F341
127.1061	271.61	F342
127.1061	284.7	F343
128.0182	167.17	F353
128.0261	19.32	F354
128.0261	24.21	F355
128.0277	99.56	F356
157.9786	2.45	F359
157.9786	255.81	F361
157.9786	292.05	F362
157.9897	201.31	F363
82.3563	170.15	F370
158.0027	22.34	F372
158.0027	26.48	F373
128.0539	152.44	F375
128.0539	199.01	F376
158.0127	296.28	F377
128.062	18.56	F378
128.062	21.96	F379
158.0193	173.9	F384
128.0684	177.66	F385
128.0684	182.74	F386
102.7306	118.67	F387
158.0266	130.04	F388
158.0266	263.48	F389
128.0696	80.33	F390
128.0696	183.13	F391
158.0302	185.77	F392
158.0404	162.31	F393
158.0404	176.52	F394
128.0762	78.05	F396
128.082	100.31	F397
128.0901	191.62	F403
158.0465	162.31	F404
158.0489	162.31	F405
128.1015	253.88	F406
158.0563	54.69	F408
158.0563	197.05	F409
158.0563	218.51	F410
158.0602	20.07	F421
158.0602	113.42	F422
128.1184	101.8	F425
128.1184	158.14	F427
128.1184	189.65	F428
128.1184	268.5	F429
158.0679	161.93	F432
158.0715	289.34	F436
158.0767	161.93	F442
158.0796	104.43	F443
158.0796	143.66	F444
158.0841	100.31	F451
158.0841	143.66	F452
158.0841	289.34	F453
158.0926	158.53	F454
158.0926	258.5	F455
158.1008	196.29	F456
158.1037	156.6	F457
128.9509	1.3	F458
128.9509	255.43	F460
128.9509	283.54	F461
158.1119	258.5	F462
128.9537	173.9	F463
158.1178	22.34	F464
158.1178	156.6	F465
129.0371	21.19	F466
158.129	137.39	F467
158.129	196.67	F469
158.129	256.96	F470
129.066	194.74	F474
129.0677	166.43	F476
129.0677	179.58	F477
129.0775	12.86	F486
158.1671	255.43	F490
158.1735	101.05	F494
158.1906	99.18	F500
129.1024	261.56	F501
158.9643	170.15	F504
158.9814	129.28	F505
158.9814	135.84	F506
129.1388	204.39	F510
129.1388	216.58	F511
158.9866	233.47	F513
129.6436	201.31	F515
129.7023	125.41	F516
158.9967	296.28	F517
129.9951	1.3	F518
129.9951	181.54	F519
129.9951	194.36	F520
129.9951	255.03	F521
159.0066	201.31	F522
159.0066	209.63	F523
159.0079	296.28	F525
159.0095	296.67	F526
159.0101	295.9	F527
130.05	131.2	F528
130.05	202.08	F529
159.0161	296.28	F530
102.9684	296.28	F533
159.0279	84.51	F534
159.0279	93.95	F535
103.0061	278.16	F537
159.0309	130.04	F538
130.0615	45.88	F539
130.0615	119.41	F541
130.0615	125.03	F542
130.0615	162.31	F543
130.0615	191.62	F544
130.0615	194.74	F545
130.0615	218.51	F546
103.0391	205.5	F547
159.0438	162.31	F548
130.0631	45.49	F549
130.0631	125.8	F550
130.0631	164.17	F551
130.0631	194.74	F552
159.0462	37.44	F553
159.0462	239.2	F554
103.0506	183.51	F555
130.0653	20.07	F556
159.0555	28.78	F558
159.0555	47.41	F559
103.0544	18.56	F560
103.0544	145.96	F561
159.0636	20.07	F562
159.0636	111.56	F563
103.0585	160.82	F564
103.0585	201.69	F565
103.0585	219.28	F566
103.0692	185.03	F568
159.0658	162.68	F570
130.0694	54.3	F573
130.0694	131.2	F574
130.0694	194.74	F575
159.0681	101.43	F578
130.0724	194.74	F580
159.0767	122.42	F582
159.0767	207.74	F583
103.0948	158.14	F584
103.0948	189.25	F585
103.0948	195.52	F586
103.0948	205.87	F587
103.1233	290.12	F588
130.0864	152.83	F589
130.0864	155.84	F590
130.0864	261.17	F591
130.0976	157.37	F594
130.0976	257.34	F595
103.1312	14.4	F596
103.816	153.2	F598
130.0993	17.45	F600
130.0993	126.18	F602
130.0993	261.17	F604
104.0425	205.87	F608
130.1057	101.05	F609
130.1057	261.17	F610
159.0806	18.19	F611
130.1089	126.18	F612
104.053	161.93	F614
104.053	177.66	F615
159.0896	258.5	F616
104.0577	146.34	F617
159.0919	104.43	F618
159.0919	144.05	F619
104.0582	145.58	F620
130.1421	25.72	F623
130.1421	216.2	F624
159.096	77.66	F625
159.096	81.09	F626
159.096	105.19	F627
159.096	258.5	F628
104.0819	146.34	F636
104.0819	153.96	F637
104.0825	144.05	F638
104.0825	151.31	F639
130.4585	201.31	F646
130.5179	125.41	F648
104.0943	145.96	F652
104.0943	150.55	F653
159.1017	22.34	F654
104.0955	146.34	F655
104.0955	150.55	F656
159.113	185.4	F660
131.0163	176.9	F662
159.1152	156.6	F663
131.0342	39.74	F666
131.0342	218.9	F669
131.0453	58.89	F670
131.0453	218.13	F671
131.0471	131.2	F674
131.0471	201.69	F675
104.1062	119.41	F682
131.0493	14.4	F683
131.0493	145.96	F685
131.0493	201.69	F686
104.1071	153.58	F687
131.0525	23.09	F688
159.1211	22.34	F690
159.1211	156.6	F691
159.1211	200.55	F693
159.1211	210.39	F694
104.1195	151.31	F695
131.0534	131.2	F696
131.0534	202.08	F697
159.1494	137.39	F699
104.1213	153.96	F700
159.1575	100.68	F704
159.1768	256.19	F708
104.1242	153.96	F709
131.0605	18.56	F710
131.0605	103.67	F712
104.1255	153.2	F714
104.1316	150.93	F719
131.0686	20.07	F720
131.0686	100.68	F721
131.0686	143.66	F722
131.0704	195.13	F725
131.0727	195.52	F726
104.3995	153.2	F727
131.0817	197.05	F729
104.9924	170.53	F730
131.0835	152.44	F731
131.0835	156.22	F732
131.0835	261.17	F733
105.0008	191.62	F735
105.037	21.19	F739
105.037	24.21	F740
105.037	48.18	F741
105.037	156.99	F742
105.0563	161.19	F743
160.0002	296.28	F744
160.0089	296.28	F747
160.0171	295.14	F748
105.0654	218.51	F751
160.0234	130.04	F752
160.0317	94.32	F754
160.0347	173.53	F756
105.066	136.23	F757
105.066	156.99	F758
105.066	218.9	F759
131.0898	152.83	F760
131.0898	156.22	F761
131.0898	261.56	F762
160.0372	166.8	F764
160.0394	28.01	F765
160.0433	136.23	F767
160.0457	279.31	F768
131.0927	156.22	F770
131.0947	258.11	F771
131.101	257.72	F772
105.0903	127.36	F773
105.0903	132.37	F774
160.0587	28.39	F775
105.1041	153.58	F779
160.0607	87.18	F780
160.0607	99.93	F781
160.0607	232.71	F782
105.1104	153.58	F783
105.1131	153.2	F785
131.1058	18.56	F786
131.1058	126.18	F788
131.1058	134.69	F789
105.9958	170.15	F791
105.9965	170.15	F792
160.0739	208.48	F794
106.008	200.93	F795
131.1068	125.03	F797
131.1068	261.17	F798
131.1094	262.32	F799
106.0375	276.24	F800
160.0759	20.07	F801
160.0759	144.05	F802
131.1121	125.8	F803
131.1121	134.69	F804
131.1147	126.18	F806
106.0484	161.56	F808
160.0801	20.81	F811
160.0801	23.09	F812
160.0801	123.53	F813
160.0801	208.48	F814
131.1181	23.46	F815
131.1181	99.56	F816
131.1181	158.53	F817
106.05	204.76	F819
131.1293	257.72	F820
160.0872	52.77	F822
160.0893	143.66	F823
106.0624	161.93	F824
160.0954	103.67	F826
160.0954	143.66	F827
160.0971	166.06	F833
106.0685	161.93	F834
106.0685	218.9	F835
106.0732	18.95	F836
106.0732	21.96	F837
160.1083	180.36	F842
160.1083	187.7	F843
106.0864	178.81	F845
106.0864	183.51	F846
160.1123	101.05	F848
106.1075	153.96	F849
82.3847	119.41	F850
106.1113	146.34	F853
106.1113	153.58	F854
106.1137	153.58	F855
160.1164	185.4	F856
160.1164	222.77	F857
160.1208	128.13	F861
160.1222	156.22	F862
160.1245	156.6	F863
160.1334	137.79	F869
160.1334	225.07	F870
160.1526	137.39	F871
82.3865	163.05	F878
160.9018	163.05	F902
161.0018	201.69	F910
161.0187	176.52	F914
161.0298	279.31	F915
161.0321	173.53	F916
161.0345	166.8	F917
161.0381	150.93	F920
161.0381	173.53	F921
161.0408	166.8	F923
161.0408	279.31	F924
161.0446	72.31	F925
161.0446	99.56	F926
161.0446	100.68	F927
161.0466	279.69	F932
161.0563	135.46	F934
161.0563	213.1	F935
161.0578	233.47	F936
82.5372	279.31	F939
82.9978	279.31	F941
161.0598	89.07	F946
161.064	123.16	F948
161.064	155.1	F949
161.064	232.71	F950
161.0793	20.07	F952
161.0793	209.63	F953
161.0793	210.78	F954
161.0814	208.87	F955
161.0824	251.16	F958
161.0904	21.57	F959
161.0923	149.4	F961
161.0923	154.72	F962
161.0923	198.23	F963
83.0729	87.18	F966
83.9986	279.31	F967
84.0445	202.08	F969
84.0445	218.9	F970
131.6608	187.7	F971
84.0557	191.22	F972
161.0986	143.27	F974
131.6616	186.91	F976
84.0568	195.9	F977
161.1004	142.88	F985
161.1004	151.69	F986
161.1004	156.99	F987
161.1004	166.06	F988
161.1004	196.67	F989
84.0575	195.13	F991
161.1117	187.31	F992
84.0639	195.13	F995
84.0683	195.9	F996
131.9298	1.3	F997
161.1287	262.71	F998
84.0809	152.83	F999
84.0809	155.84	F1000
84.0809	261.17	F1001
161.1304	225.07	F1002
132.0132	48.95	F1004
132.0212	167.54	F1006
132.0445	21.19	F1008
132.0445	103.67	F1009
132.0479	39.35	F1010
132.0479	48.56	F1011
132.0527	146.73	F1012
132.0527	186.91	F1013
132.0543	202.08	F1014
132.0567	202.08	F1015
132.0686	18.56	F1020
132.0686	22.34	F1021
161.1368	102.17	F1024
161.1368	126.97	F1025
161.1368	137.79	F1026
161.1368	225.07	F1027
132.0769	186.91	F1028
161.1651	293.61	F1029
161.547	205.5	F1030
161.5479	205.87	F1032
132.0809	144.05	F1034
132.0851	197.44	F1035
132.0907	152.44	F1036
132.0907	156.6	F1037
132.0907	261.17	F1038
162.0056	158.91	F1040
162.0056	180.36	F1041
162.0056	296.28	F1043
132.0932	187.7	F1045
132.0932	261.94	F1046
162.0089	102.17	F1048
132.1021	150.93	F1050
132.1021	209.63	F1051
132.1091	125.8	F1052
132.1155	126.18	F1054
132.1214	158.14	F1055
162.0201	156.99	F1057
162.0252	186.15	F1059
162.0306	279.69	F1060
132.495	187.31	F1061
162.0393	173.9	F1064
132.9051	177.66	F1067
162.0416	166.43	F1068
162.0416	173.9	F1069
162.0434	278.54	F1070
132.9584	1.69	F1071
132.9584	260.03	F1073
162.0504	168.29	F1075
162.0504	173.9	F1076
132.9874	167.17	F1077
132.9874	175.01	F1078
133.0246	166.8	F1079
162.0552	28.78	F1082
133.0319	61.19	F1083
133.0319	83.01	F1084
133.0319	161.93	F1086
133.0478	21.57	F1091
133.0478	100.31	F1092
133.0524	17.45	F1093
133.0576	201.69	F1094
162.0586	134.31	F1096
162.0586	147.87	F1097
162.0586	205.87	F1098
133.0609	218.9	F1103
133.065	18.19	F1104
133.069	193.59	F1105
133.069	219.28	F1106
133.069	232.71	F1107
133.0739	186.91	F1110
133.0802	186.91	F1114
133.0832	186.53	F1117
133.0844	143.66	F1118
133.0844	187.7	F1119
162.0652	206.25	F1121
133.0974	149.4	F1122
133.0974	156.99	F1123
133.0974	208.11	F1124
133.0974	264.63	F1125
133.0992	150.93	F1126
133.0992	209.63	F1127
162.0745	29.91	F1128
162.0745	206.63	F1129
162.0764	49.33	F1130
162.0788	206.25	F1131
162.0803	206.25	F1132
162.0834	205.87	F1133
162.0847	206.25	F1134
133.1013	17.82	F1135
162.0862	206.25	F1137
162.0877	198.23	F1142
162.0877	205.13	F1143
133.1054	150.93	F1144
133.1054	180.36	F1145
133.1054	192.41	F1146
133.1054	209.63	F1147
162.0898	205.87	F1148
133.1082	149.4	F1149
162.0961	197.83	F1155
133.9269	1.69	F1156
162.1127	205.87	F1159
162.1258	262.71	F1162
133.9304	130.04	F1165
133.9304	135.84	F1166
133.9751	161.56	F1169
162.128	100.31	F1177
162.1321	130.43	F1178
162.1321	135.84	F1179
162.1321	262.71	F1181
162.135	206.25	F1184
162.135	263.48	F1185
134.0112	48.56	F1188
162.1362	68.86	F1191
162.1362	72.31	F1192
134.019	167.54	F1193
134.019	186.53	F1194
162.1376	136.23	F1195
162.1376	138.18	F1196
162.1376	205.87	F1197
162.1376	225.07	F1198
134.0355	162.31	F1199
162.1396	205.5	F1200
162.1396	225.07	F1201
134.0451	218.51	F1202
134.0451	232.71	F1203
162.1404	205.87	F1206
162.1404	225.07	F1207
162.1415	205.5	F1208
162.1415	225.07	F1209
134.0602	17.08	F1210
134.0602	20.07	F1211
162.1435	206.25	F1212
134.0634	218.51	F1213
134.0638	218.9	F1215
162.1491	17.82	F1217
162.1491	100.31	F1218
162.1491	129.66	F1219
162.1491	206.63	F1220
134.0775	187.31	F1221
162.6806	205.87	F1223
162.6815	205.5	F1224
162.998	211.94	F1229
163.0121	102.17	F1231
163.0121	141.3	F1232
163.0274	279.31	F1236
134.0813	186.91	F1241
134.0837	186.91	F1243
163.0425	53.15	F1247
163.0425	83.38	F1249
163.0478	159.3	F1250
163.0478	167.92	F1251
163.0478	178.81	F1253
163.0478	190.83	F1254
163.0504	24.59	F1256
163.0504	49.71	F1257
163.0537	168.29	F1261
163.0537	174.27	F1262
163.0584	27.63	F1268
163.0604	198.62	F1269
163.0616	11.33	F1271
163.0616	26.09	F1272
163.0616	187.31	F1273
163.0616	197.05	F1274
134.0966	101.05	F1279
134.1007	265.79	F1280
134.1044	23.09	F1281
134.1063	150.55	F1282
134.1063	209.63	F1283
134.1087	149.78	F1284
134.1087	210.01	F1285
163.0796	48.56	F1289
163.0796	179.97	F1290
163.1098	190.83	F1299
163.1098	205.5	F1300
134.9967	296.67	F1302
135.003	158.14	F1306
135.003	168.66	F1307
135.0223	181.94	F1308
135.0223	187.31	F1309
135.0278	162.31	F1310
135.0442	184.28	F1311
135.0475	24.96	F1312
135.0475	65.79	F1313
135.0636	17.08	F1314
135.0636	20.07	F1315
163.1159	205.5	F1319
135.0668	218.9	F1320
135.0684	164.92	F1322
163.1331	17.45	F1326
163.1356	261.17	F1328
135.0806	18.19	F1329
135.0846	187.7	F1330
135.0999	101.05	F1333
135.1018	14.4	F1338
163.1483	17.82	F1340
163.9687	291.67	F1341
163.9902	105.19	F1342
164.0017	169.78	F1343
164.0017	178.81	F1344
164.0071	102.17	F1345
164.0071	178.04	F1347
164.0086	178.04	F1358
164.0296	197.83	F1359
135.9262	136.62	F1363
164.0457	11.33	F1364
164.0457	82.63	F1366
164.0457	128.89	F1367
135.9773	196.67	F1369
164.0529	108.17	F1370
164.0684	156.6	F1372
164.0742	142.88	F1377
135.9923	2.45	F1378
136.0371	158.53	F1379
136.0381	84.51	F1380
136.0395	36.69	F1381
136.0483	38.97	F1387
136.0483	95.06	F1389
136.0483	159.3	F1390
136.0483	186.53	F1391
164.092	222.77	F1393
136.0508	218.51	F1394
164.1032	204.01	F1397
164.1032	210.39	F1398
164.1032	221.61	F1399
164.1032	228.9	F1400
164.1129	205.13	F1402
136.0641	20.07	F1403
136.0641	166.06	F1404
136.0641	218.51	F1405
164.1168	190.44	F1406
164.1168	205.5	F1407
136.0734	179.2	F1408
164.1188	205.5	F1410
164.1224	205.87	F1411
136.0759	164.54	F1412
136.0792	37.82	F1419
136.0838	18.19	F1421
